Date,open,high,low,close,volume,prevclose,pct_change_in_close,fed_rate,prev_fed_rate,pct_change_in_fed_rate,5_yr,7_yr,10_yr,20_yr,30_yr,prev_10_yr,pct_change_in_10_yr,label
2016-09-13,214.8400,215.1500,212.5000,213.23,182828800,216.34,-1.4375520014791594,0.4,0.4,0.0,-0.05,0.07,0.24,0.59,0.74,0.17,29.166666666666657,0
2016-09-14,213.2900,214.7000,212.5000,213.15,134185500,213.23,-0.03751817286497401,0.4,0.4,0.0,-0.09,0.04,0.21,0.58,0.72,0.24,-14.285714285714285,-2
2016-09-15,212.9600,215.7300,212.7500,215.28,134427900,213.15,0.9992962702322287,0.4,0.4,0.0,-0.11,0.02,0.22,0.61,0.76,0.21,4.545454545454549,2
2016-09-16,213.4800,213.6900,212.5700,213.37,155236400,215.28,-0.8872166480862117,0.4,0.4,0.0,-0.13,0.0,0.19,0.57,0.73,0.22,-15.789473684210526,-2
2016-09-19,214.1300,214.8800,213.0300,213.41,80250500,213.37,0.018746777897545128,0.4,0.4,0.0,-0.13,0.01,0.2,0.57,0.75,0.19,5.000000000000004,2
2016-09-20,214.4100,214.5900,213.3800,213.42,69665300,213.41,0.004685816034858209,0.4,0.4,0.0,-0.13,0.01,0.2,0.57,0.75,0.2,0.0,2
2016-09-21,214.2400,216.0300,213.4400,215.82,110284400,213.42,1.1245431543435507,0.4,0.4,0.0,-0.17,-0.04,0.15,0.53,0.69,0.2,-33.33333333333335,0
2016-09-22,217.0000,217.5300,216.7100,217.18,76678700,215.82,0.6301547585951319,0.4,0.4,0.0,-0.22,-0.09,0.08,0.43,0.62,0.15,-87.49999999999999,0
2016-09-23,216.7200,216.8800,215.8800,215.99,73630900,217.18,-0.5479325904779435,0.4,0.4,0.0,-0.26,-0.13,0.05,0.41,0.58,0.08,-60.0,-2
2016-09-26,215.0200,215.2300,214.0100,214.24,89827300,215.99,-0.8102226954951618,0.4,0.4,0.0,-0.27,-0.14,0.05,0.43,0.6,0.05,0.0,0
2016-09-27,214.0500,215.6800,213.6200,215.57,78494800,214.24,0.6207991038088051,0.4,0.4,0.0,-0.26,-0.14,0.04,0.42,0.58,0.05,-25.000000000000007,0
2016-09-28,215.8300,216.8200,214.7100,216.64,87411000,215.57,0.49635849144129207,0.4,0.4,0.0,-0.31,-0.17,0.01,0.38,0.57,0.04,-300.0,0
2016-09-29,216.4000,216.8700,214.0400,214.68,128070600,216.64,-0.904726735598218,0.4,0.4,0.0,-0.32,-0.18,0.02,0.43,0.58,0.01,50.0,0
2016-09-30,215.6500,217.1200,215.3600,216.3,117202900,214.68,0.7546115148127467,0.29,0.4,-37.93103448275863,-0.31,-0.17,0.0,0.38,0.59,0.02,-inf,-1
2016-10-03,215.8200,216.0400,215.0400,215.78,83512100,216.3,-0.24040684234859466,0.4,0.29,27.500000000000007,-0.29,-0.16,0.0,0.37,0.58,0.0,,0
2016-10-04,215.9100,216.1700,213.9900,214.68,119948100,215.78,-0.5097784780795228,0.4,0.4,0.0,-0.23,-0.09,0.07,0.44,0.66,0.0,100.0,0
2016-10-05,215.4100,216.1300,215.3300,215.63,72816000,214.68,0.44251909819265356,0.4,0.4,0.0,-0.22,-0.08,0.1,0.48,0.69,0.07,30.0,2
2016-10-06,215.3700,216.0400,214.7400,215.78,62927400,215.63,0.06956360432222125,0.4,0.4,0.0,-0.21,-0.07,0.11,0.48,0.68,0.1,9.090909090909086,2
2016-10-07,216.1000,216.3000,214.1900,215.04,89788300,215.78,-0.3429418852535031,0.4,0.4,0.0,-0.24,-0.09,0.1,0.47,0.68,0.11,-9.999999999999995,-2
2016-10-11,215.6600,215.7400,212.5800,213.43,130367400,216.16,-1.262953367875643,0.41,0.4,2.4390243902438913,-0.21,-0.05,0.13,0.51,0.71,0.1,23.076923076923077,1
2016-10-12,213.5900,214.3200,213.0100,213.71,73866100,213.43,0.13119055428009238,0.41,0.41,0.0,-0.2,-0.04,0.15,0.53,0.73,0.13,13.333333333333327,2
2016-10-13,212.1600,213.5900,211.2100,213.01,101357000,213.71,-0.32754667540125265,0.41,0.41,0.0,-0.23,-0.07,0.12,0.51,0.71,0.15,-25.0,-2
2016-10-14,214.1500,214.6900,213.0300,213.12,93346200,213.01,0.0516407680390656,0.41,0.41,0.0,-0.25,-0.07,0.13,0.53,0.74,0.12,7.692307692307699,2
2016-10-17,213.0900,213.3900,212.1700,212.38,58275700,213.12,-0.3472222222222265,0.41,0.41,0.0,-0.29,-0.12,0.09,0.49,0.68,0.13,-44.44444444444445,-2
2016-10-18,214.2400,214.3100,213.2700,213.71,76869700,212.38,0.6262359920896565,0.41,0.41,0.0,-0.3,-0.12,0.09,0.49,0.68,0.09,0.0,2
2016-10-19,214.0200,214.6400,213.6000,214.28,66519200,213.71,0.26671657854101033,0.41,0.41,0.0,-0.32,-0.14,0.08,0.49,0.68,0.09,-12.499999999999993,0
2016-10-20,213.8700,214.5300,213.1100,213.88,73639800,214.28,-0.18667164457719138,0.41,0.41,0.0,-0.3,-0.12,0.08,0.48,0.68,0.08,0.0,0
2016-10-21,213.8800,214.0800,212.7600,213.98,89089100,213.88,0.046755189826068036,0.41,0.41,0.0,-0.31,-0.13,0.07,0.46,0.66,0.08,-14.285714285714276,0
2016-10-24,215.0000,215.3200,214.4800,214.89,60146600,213.98,0.4252733900364504,0.41,0.41,0.0,-0.26,-0.09,0.11,0.49,0.69,0.07,36.36363636363636,2
2016-10-25,214.6800,214.9800,213.9800,214.17,66542300,214.89,-0.33505514449253054,0.41,0.41,0.0,-0.28,-0.13,0.07,0.46,0.65,0.11,-57.14285714285713,-2
2016-10-26,213.2100,214.4200,212.9300,213.74,75705500,214.17,-0.20077508521267143,0.41,0.41,0.0,-0.28,-0.12,0.08,0.47,0.65,0.07,12.499999999999993,0
2016-10-27,214.5800,214.6200,213.0800,213.17,77220200,213.74,-0.2666791428838877,0.41,0.41,0.0,-0.24,-0.07,0.13,0.52,0.72,0.08,38.46153846153847,0
2016-10-28,213.1400,213.9300,211.7100,212.54,140623200,213.17,-0.29553877187221256,0.41,0.41,0.0,-0.27,-0.09,0.13,0.55,0.74,0.13,0.0,0
2016-10-31,212.9300,213.1900,212.3600,212.55,61272500,212.54,0.004704996706511398,0.31,0.41,-32.258064516129025,-0.28,-0.1,0.11,0.51,0.7,0.13,-18.181818181818183,-1
2016-11-01,212.9300,212.9900,209.6000,211.01,122781800,212.55,-0.7245354034344955,0.41,0.31,24.39024390243902,-0.29,-0.1,0.11,0.51,0.69,0.11,0.0,1
2016-11-02,210.6500,211.1000,209.2300,209.74,103330800,211.01,-0.6018672100848216,0.41,0.41,0.0,-0.29,-0.11,0.11,0.51,0.7,0.11,0.0,0
2016-11-03,209.9900,210.2400,208.4600,208.78,88939300,209.74,-0.4577095451511433,0.41,0.41,0.0,-0.26,-0.08,0.14,0.56,0.75,0.11,21.428571428571434,0
2016-11-04,208.9100,209.8900,208.3800,208.55,109122100,208.78,-0.11016380879394089,0.41,0.41,0.0,-0.28,-0.11,0.11,0.54,0.72,0.14,-27.27272727272728,-2
2016-11-07,208.5500,213.1900,208.5500,213.15,109794900,208.55,2.2057060656916776,0.41,0.41,0.0,-0.27,-0.09,0.12,0.51,0.71,0.11,8.33333333333333,2
2016-11-08,212.6900,214.7700,212.3800,214.11,102268300,213.15,0.45038705137227675,0.41,0.41,0.0,-0.23,-0.05,0.15,0.54,0.73,0.12,20.0,2
2016-11-09,212.3700,217.1000,212.3400,216.38,258429000,214.11,1.0602026995469531,0.41,0.41,0.0,-0.18,0.0,0.25,0.69,0.83,0.15,40.0,2
2016-11-10,217.3000,218.3100,215.2200,216.92,172113300,216.38,0.24956095757463354,0.41,0.41,0.0,-0.14,0.04,0.27,0.7,0.87,0.25,7.407407407407414,2
2016-11-14,217.0300,217.2700,215.7200,216.59,94580000,216.42,0.07855096571482115,0.41,0.41,0.0,0.01,0.19,0.4,0.79,0.96,0.27,32.5,2
2016-11-15,217.0400,218.2800,216.8000,218.28,91652600,216.59,0.7802760976961068,0.41,0.41,0.0,0.01,0.19,0.41,0.79,0.95,0.4,2.4390243902438913,2
