,Date,Press Release,symbol,open,high,low,close,volume,day_before_close,day_after_open,day_after_close,two_day_after_close,three_day_after_close,fed_announce_avg,fed_announce_pct_change,two_day_before_close,three_day_before_close,four_day_before_close,prev_close_avg,pct_change_sp500,fed_rate,prev_fed_rate,pct_change_in_fed_rate,10_yr,one_day_before_10,two_day_before_10,three_day_before_10,prev_days_avg_treas,pct_change_in_treas,label_market,label_FED
64,2001-01-31,0,SP500,1373.73,1383.37,1364.66,1366.01,1295300000,1394.46,1113.57,1130.2,855.7,1181.27,1205.6116666666665,-2.0606353049401465,786.16,636.02,470.42,630.8666666666667,54.75907041674436,5.74,5.57,-3.0520646319569105,5.19,6.68,6.53,5.6,6.2700000000000005,-20.809248554913296,-1,-1
65,2001-03-20,0,SP500,1170.81,1180.56,1142.19,1142.62,1235900000,1456.63,1170.29,1151.85,875.67,1305.08,1161.3116666666667,11.016055209897724,1099.16,782.65,649.98,843.93,42.06284368714087,5.14,5.05,-1.7821782178217795,4.78,6.18,5.57,6.75,6.166666666666667,-29.009762900976288,-1,-1
66,2001-05-15,0,SP500,1248.92,1257.45,1245.36,1249.44,1071800000,1452.36,1097.28,1091.07,946.67,1294.5,1180.9566666666667,8.771211535985577,1108.73,841.88,665.42,872.0100000000001,39.9591010493266,4.22,4.04,-4.455445544554449,5.5,6.47,5.68,6.67,6.273333333333333,-14.060606060606062,-1,-1
67,2001-06-27,0,SP500,1216.76,1219.92,1207.29,1211.07,1162100000,1450.55,973.53,990.64,976.22,1190.69,1136.4616666666668,4.5543620365782225,887.3,668.55,542.43,699.4266666666666,51.78196775935565,3.68,3.86,4.663212435233153,5.26,6.1,6.46,6.83,6.463333333333334,-22.87705956907479,-1,1
68,2001-08-21,0,SP500,1171.41,1179.85,1156.56,1157.26,1041600000,1499.48,937.43,949.36,1003.27,1297.52,1119.7016666666668,13.704477259181605,1081.24,925.05,665.07,890.4533333333334,40.615857941864284,3.53,3.51,-0.5698005698005704,4.87,5.79,5.32,6.3,5.803333333333334,-19.164955509924713,-1,-1
69,2001-10-02,0,SP500,1038.55,1051.33,1034.47,1051.33,1289800000,1436.23,843.77,827.91,1020.24,1331.32,1036.3383333333331,22.157082194113123,1002.6,960.46,694.01,885.6899999999999,38.3323005368221,2.35,2.27,-3.524229074889871,4.53,5.83,4.31,6.01,5.383333333333333,-18.837380426784385,-1,-1
70,2001-11-06,0,SP500,1102.84,1119.73,1095.36,1118.86,1356000000,1432.19,915.39,923.76,1058.05,1379.78,1091.8483333333334,20.867940299661296,1141.01,938.03,724.59,934.5433333333334,34.74725187766055,2.13,2.04,-4.411764705882345,4.3,5.87,4.93,5.9,5.566666666666667,-29.45736434108529,-1,-1
71,2001-12-11,0,SP500,1139.93,1150.89,1134.32,1136.76,1367200000,1380.2,904.45,904.96,1071.21,1413.04,1089.585,22.89071788484402,1166.46,954.94,740.73,954.0433333333334,30.876443027580542,1.8,1.81,0.5524861878453043,5.13,5.37,4.61,5.82,5.266666666666667,-2.664067576348279,-1,1
72,2002-01-30,0,SP500,1100.64,1113.79,1081.66,1113.57,2019600000,1373.73,864.36,844.61,1131.13,1285.19,1071.34,16.639563021810012,980.28,784.17,630.15,798.1999999999999,41.89542340925801,1.78,1.85,3.783783783783787,5.02,5.24,5.53,6.61,5.793333333333333,-15.405046480743694,-1,1
73,2002-03-19,0,SP500,1165.55,1173.94,1165.55,1170.29,1255000000,1170.81,866.45,874.02,1109.78,1402.06,1059.4833333333331,24.433809299649575,1299.29,1089.74,785.77,1058.2666666666667,9.612433557394736,1.67,1.78,6.179775280898882,5.33,4.82,5.17,5.58,5.19,2.626641651031889,1,1
74,2002-05-07,0,SP500,1052.67,1058.67,1048.96,1049.49,1354700000,1263.51,934.39,929.62,1098.7,1509.48,1054.73,30.12626864880621,1345.0,1095.14,815.62,1085.2533333333333,14.10805349120044,1.72,1.71,-0.5847953216374274,5.09,5.21,5.54,5.67,5.473333333333334,-7.531106745252137,0,-1
75,2002-06-26,0,SP500,976.14,977.43,952.92,973.53,2014290000,1216.76,975.32,985.82,1250.56,1492.89,1063.0216666666665,28.794374222704523,1455.31,1133.2,883.68,1157.3966666666668,4.878803817789311,1.78,1.81,1.657458563535913,4.75,5.24,6.11,5.46,5.603333333333334,-17.964912280701775,0,1
76,2002-08-13,0,SP500,903.8,911.71,883.62,884.21,1297700000,1191.29,990.35,984.03,1064.8,1452.92,1003.08,30.961099028163975,1327.68,1074.91,922.02,1108.2033333333334,6.974512223444047,1.74,1.78,2.247191011235957,4.12,4.97,5.98,5.44,5.463333333333334,-32.60517799352752,0,1
